Date	Time	ElapsedMicrosecs	WeightFromScale [g]
2023-08-01	14:12:09	19076684	120.3790
2023-08-01	14:12:09	19081621	120.3790
2023-08-01	14:12:09	19086200	120.3790
2023-08-01	14:12:09	19090922	120.3790
2023-08-01	14:12:09	19095620	120.3790
2023-08-01	14:12:09	19099810	120.3790
2023-08-01	14:12:09	19105889	120.3790
2023-08-01	14:12:09	19112057	120.3790
2023-08-01	14:12:09	19116278	120.3790
2023-08-01	14:12:09	19122311	120.3790
2023-08-01	14:12:09	19125953	120.3790
2023-08-01	14:12:09	19129135	120.3790
2023-08-01	14:12:09	19138262	120.3790
2023-08-01	14:12:09	19142925	120.3790
2023-08-01	14:12:09	19148615	120.3790
2023-08-01	14:12:09	19153869	120.3790
2023-08-01	14:12:09	19160432	120.3790
2023-08-01	14:12:09	19170336	120.3790
2023-08-01	14:12:09	19175756	120.3790
2023-08-01	14:12:09	19179816	120.3790
2023-08-01	14:12:09	19184144	120.3790
2023-08-01	14:12:09	19187857	120.3790
2023-08-01	14:12:09	19191989	120.3790
2023-08-01	14:12:09	19196911	120.3790
2023-08-01	14:12:09	19201880	120.3790
2023-08-01	14:12:09	19206324	120.3790
2023-08-01	14:12:09	19211887	120.3790
2023-08-01	14:12:09	19215986	120.3790
2023-08-01	14:12:09	19219367	120.3790
2023-08-01	14:12:09	19223243	120.3790
2023-08-01	14:12:09	19228216	120.3790
2023-08-01	14:12:09	19231392	120.3790
2023-08-01	14:12:09	19236482	120.3790
2023-08-01	14:12:09	19241663	120.3790
2023-08-01	14:12:09	19244968	120.3790
2023-08-01	14:12:09	19251667	120.3790
2023-08-01	14:12:09	19257392	120.3790
2023-08-01	14:12:09	19262754	120.3790
2023-08-01	14:12:09	19267598	120.3790
2023-08-01	14:12:09	19272868	120.3790
2023-08-01	14:12:09	19278306	120.3790
2023-08-01	14:12:09	19283890	120.3790
2023-08-01	14:12:09	19289566	120.3790
2023-08-01	14:12:09	19298148	120.3790
2023-08-01	14:12:09	19303133	120.3790
2023-08-01	14:12:09	19307727	120.3790
2023-08-01	14:12:09	19313596	120.3790
2023-08-01	14:12:10	19320138	120.3790
2023-08-01	14:12:10	19325120	120.3790
2023-08-01	14:12:10	19330159	120.3790
2023-08-01	14:12:10	19336456	120.3790
2023-08-01	14:12:10	19342018	120.3790
2023-08-01	14:12:10	19346141	120.3790
2023-08-01	14:12:10	19350715	120.3790
2023-08-01	14:12:10	19356372	120.3790
2023-08-01	14:12:10	19363579	120.3790
2023-08-01	14:12:10	19367782	120.3790
2023-08-01	14:12:10	19372255	120.3790
2023-08-01	14:12:10	19375935	120.3790
2023-08-01	14:12:10	19380087	120.3790
2023-08-01	14:12:10	19384081	120.3790
2023-08-01	14:12:10	19388493	120.3790
2023-08-01	14:12:10	19393339	120.3790
2023-08-01	14:12:10	19397323	120.3790
2023-08-01	14:12:10	19400777	120.3790
2023-08-01	14:12:10	19406015	120.3790
2023-08-01	14:12:10	19411730	120.3790
2023-08-01	14:12:10	19415993	120.3790
2023-08-01	14:12:10	19421851	120.3790
2023-08-01	14:12:10	19427423	120.3790
2023-08-01	14:12:10	19431228	120.3790
2023-08-01	14:12:10	19434871	120.3790
2023-08-01	14:12:10	19440055	120.3790
2023-08-01	14:12:10	19446933	120.3790
2023-08-01	14:12:10	19451737	120.3790
2023-08-01	14:12:10	19456617	120.3790
2023-08-01	14:12:10	19461521	120.3790
2023-08-01	14:12:10	19466324	120.3790
2023-08-01	14:12:10	19474767	120.3790
2023-08-01	14:12:10	19480252	120.3790
2023-08-01	14:12:10	19484833	120.3790
2023-08-01	14:12:10	19489845	120.3790
2023-08-01	14:12:10	19494590	120.3790
2023-08-01	14:12:10	19499422	120.3790
2023-08-01	14:12:10	19504028	120.3790
2023-08-01	14:12:10	19508713	120.3790
2023-08-01	14:12:10	19512964	120.3790
2023-08-01	14:12:10	19517071	120.3790
2023-08-01	14:12:10	19521422	120.3790
2023-08-01	14:12:10	19525588	120.3790
2023-08-01	14:12:10	19530656	120.3790
2023-08-01	14:12:10	19535590	120.3790
2023-08-01	14:12:10	19540041	120.3790
2023-08-01	14:12:10	19544662	120.3790
2023-08-01	14:12:10	19547867	120.3790
2023-08-01	14:12:10	19551085	120.3790
2023-08-01	14:12:10	19556533	120.3790
2023-08-01	14:12:10	19564408	120.3790
2023-08-01	14:12:10	19573309	120.3790
2023-08-01	14:12:10	19578223	120.3790
2023-08-01	14:12:10	19582624	120.3790
2023-08-01	14:12:10	19586755	120.3790
2023-08-01	14:12:10	19599827	120.3790
2023-08-01	14:12:10	19603982	120.3790
2023-08-01	14:12:10	19609850	120.3790
2023-08-01	14:12:10	19615737	120.3790
2023-08-01	14:12:10	19621989	120.3790
2023-08-01	14:12:10	19626772	120.3790
2023-08-01	14:12:10	19633694	120.3790
2023-08-01	14:12:10	19641201	120.3790
2023-08-01	14:12:10	19645769	120.3790
2023-08-01	14:12:10	19650572	120.3790
2023-08-01	14:12:10	19662064	120.3790
2023-08-01	14:12:10	19667333	120.3790
2023-08-01	14:12:10	19673069	120.3790
2023-08-01	14:12:10	19678560	120.3790
2023-08-01	14:12:10	19683744	120.3790
2023-08-01	14:12:10	19688369	120.3790
2023-08-01	14:12:10	19697377	120.3790
2023-08-01	14:12:10	19704089	120.3790
2023-08-01	14:12:10	19709750	120.3790
2023-08-01	14:12:10	19715550	120.3790
2023-08-01	14:12:10	19721731	120.3790
2023-08-01	14:12:10	19726955	120.3790
2023-08-01	14:12:10	19733737	120.3790
2023-08-01	14:12:10	19749711	120.3790
2023-08-01	14:12:10	19760934	120.3790
2023-08-01	14:12:10	19765915	120.3790
2023-08-01	14:12:10	19771422	120.3790
2023-08-01	14:12:10	19775969	120.3790
2023-08-01	14:12:10	19780010	120.3790
2023-08-01	14:12:10	19786414	120.3790
2023-08-01	14:12:10	19792802	120.3790
2023-08-01	14:12:10	19797416	120.3790
2023-08-01	14:12:10	19802133	120.3790
2023-08-01	14:12:10	19807747	120.3790
2023-08-01	14:12:10	19812784	120.3790
2023-08-01	14:12:10	19816907	120.3790
2023-08-01	14:12:10	19827640	120.3790
2023-08-01	14:12:10	19834833	120.3790
2023-08-01	14:12:10	19840192	120.3790
2023-08-01	14:12:10	19845045	120.3790
2023-08-01	14:12:10	19849853	120.3790
2023-08-01	14:12:10	19855210	120.3790
2023-08-01	14:12:10	19865891	120.3790
